"occ_code","occ_title","current_employment","annual_openings","projected_growth_pct","annual_mean_wage","median_wage","entry_edu","opportunity_label","opportunity_score"
"25-2052","Special Education Teachers, Kindergarten and Elementary School",260870,15400,-1.8,72650,63000,"Bachelor's degree","Low Opportunity",-8.8
"23-2099","Legal Support Workers, All Other",46760,4700,-1.2,89660,68760,"Associate's degree","Low Opportunity",-9.2
"25-2058","Special Education Teachers, Secondary School",163930,11100,-1.6,77260,69590,"Bachelor's degree","Low Opportunity",-9.3
"53-7064","Packers and Packagers, Hand",559820,74000,-5.4,37540,35580,"No formal educational credential","Declining",-9.6
"51-6091","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",12850,2000,-1.1,48580,44980,"High school diploma or equivalent","Low Opportunity",-9.8
"17-2161","Nuclear Engineers",15280,800,-1.1,140420,127520,"Bachelor's degree","Low Opportunity",-10.5
"27-1013","Fine Artists, Including Painters, Sculptors, and Illustrators",11220,2200,-1.2,73150,60560,"Bachelor's degree","Low Opportunity",-10.7
"53-7041","Hoist and Winch Operators",2600,300,-1.1,67710,52310,"No formal educational credential","Low Opportunity",-10.8
"49-9064","Watch and Clock Repairers",1310,100,-1.1,70840,60690,"High school diploma or equivalent","Low Opportunity",-10.9
"51-7011","Cabinetmakers and Bench Carpenters",77170,8100,-1.6,48290,46020,"High school diploma or equivalent","Low Opportunity",-11.1
"45-4022","Logging Equipment Operators",21060,4200,-1.4,53190,49210,"High school diploma or equivalent","Low Opportunity",-11.5
"53-3011","Ambulance Drivers and Attendants, Except Emergency Medical Technicians",12630,1400,-1.3,36210,34330,"High school diploma or equivalent","Low Opportunity",-12.2
"15-1232","Computer User Support Specialists",717190,40800,-3.7,67330,60340,"Some college, no degree","Low Opportunity",-12.5
"53-7071","Gas Compressor and Gas Pumping Station Operators",3510,600,-1.3,74610,71510,"High school diploma or equivalent","Low Opportunity",-12.6
"39-6011","Baggage Porters and Bellhops",28510,4600,-1.6,38570,36020,"High school diploma or equivalent","Low Opportunity",-13.2
"51-7042","Woodworking Machine Setters, Operators, and Tenders, Except Sawing",61420,6400,-1.8,43570,40440,"High school diploma or equivalent","Low Opportunity",-14.2
"25-2032","Career/Technical Education Teachers, Secondary School",111420,6200,-1.8,72680,63910,"Bachelor's degree","Low Opportunity",-14.3
"33-3041","Parking Enforcement Workers",9050,700,-1.5,51190,47150,"High school diploma or equivalent","Low Opportunity",-14.6
"43-4131","Loan Interviewers and Clerks",164790,13300,-2.3,52520,48950,"High school diploma or equivalent","Low Opportunity",-15.0
"19-3099","Social Scientists and Related Workers, All Other",37100,3200,-1.7,107690,100340,"Bachelor's degree","Low Opportunity",-15.1
"25-2057","Special Education Teachers, Middle School",95200,6300,-1.9,73780,64880,"Bachelor's degree","Low Opportunity",-15.2
"13-2081","Tax Examiners and Collectors, and Revenue Agents",56610,4300,-1.8,70520,59740,"Bachelor's degree","Low Opportunity",-15.4
"27-4014","Sound Engineering Technicians",13080,1200,-1.7,81390,66430,"Postsecondary nondegree award","Low Opportunity",-16.3
"47-5081","Helpers--Extraction Workers",6700,700,-1.7,50620,48400,"High school diploma or equivalent","Low Opportunity",-16.6
"51-6093","Upholsterers",20140,2200,-1.8,47340,46190,"High school diploma or equivalent","Low Opportunity",-16.7
"33-9094","School Bus Monitors",78420,12600,-2.7,35150,34980,"High school diploma or equivalent","Low Opportunity",-19.4
"25-2023","Career/Technical Education Teachers, Middle School",16870,900,-2,71590,63620,"Bachelor's degree","Low Opportunity",-19.5
"51-9032","Cutting and Slicing Machine Setters, Operators, and Tenders",44980,5300,-2.3,47460,45700,"High school diploma or equivalent","Low Opportunity",-19.8
"19-4044","Hydrologic Technicians",2840,400,-2.1,69530,58570,"Associate's degree","Low Opportunity",-20.8
"33-3011","Bailiffs",17310,1800,-2.2,61660,57050,"High school diploma or equivalent","Low Opportunity",-20.9
"13-2053","Insurance Underwriters",105420,8200,-2.6,93700,79880,"Bachelor's degree","Low Opportunity",-21.1
"51-4051","Metal-Refining Furnace Operators and Tenders",16780,2000,-2.3,55490,55770,"High school diploma or equivalent","Low Opportunity",-21.8
"49-3091","Bicycle Repairers",12170,1600,-2.3,42730,40360,"High school diploma or equivalent","Low Opportunity",-22.0
"43-5052","Postal Service Mail Carriers",328820,20600,-3.5,62540,57490,"No formal educational credential","Low Opportunity",-22.6
"51-9021","Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",26000,2700,-2.5,51380,46890,"High school diploma or equivalent","Low Opportunity",-23.4
"47-2011","Boilermakers",10190,800,-2.4,80090,73340,"High school diploma or equivalent","Low Opportunity",-23.5
"25-9021","Farm and Home Management Educators",8220,1100,-2.5,61060,58120,"Master's degree","Low Opportunity",-24.3
"43-9111","Statistical Assistants",4710,800,-2.5,55650,51440,"Bachelor's degree","Low Opportunity",-24.5
"43-9041","Insurance Claims and Policy Processing Clerks",214260,20300,-3.7,52920,48450,"High school diploma or equivalent","Low Opportunity",-24.8
"51-9151","Photographic Process Workers and Processing Machine Operators",4800,1500,-2.6,46050,40100,"High school diploma or equivalent","Low Opportunity",-25.1
"49-9043","Maintenance Workers, Machinery",60020,4800,-2.8,64610,60500,"High school diploma or equivalent","Low Opportunity",-25.1
"33-1011","First-Line Supervisors of Correctional Officers",53380,4300,-2.8,84380,76310,"High school diploma or equivalent","Low Opportunity",-25.4
"49-9052","Telecommunications Line Installers and Repairers",97720,8900,-3.1,73940,70500,"High school diploma or equivalent","Low Opportunity",-25.7
"51-8093","Petroleum Pump System Operators, Refinery Operators, and Gaugers",33160,3200,-2.8,90630,97540,"High school diploma or equivalent","Low Opportunity",-26.1
"27-4012","Broadcast Technicians",21110,1800,-2.8,67960,53920,"Associate's degree","Low Opportunity",-26.9
"49-9091","Coin, Vending, and Amusement Machine Servicers and Repairers",26410,3500,-2.9,49770,47350,"High school diploma or equivalent","Low Opportunity",-26.9
"51-4072","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",150470,15900,-3.8,45960,41230,"High school diploma or equivalent","Low Opportunity",-28.5
"47-2022","Stonemasons",7820,800,-3,60710,51990,"High school diploma or equivalent","Low Opportunity",-29.5
"19-4071","Forest and Conservation Technicians",30410,3900,-3.2,59060,54310,"Associate's degree","Low Opportunity",-29.7
"19-3094","Political Scientists",5540,500,-3.1,142510,139380,"Master's degree","Low Opportunity",-30.7
"19-3092","Geographers",1400,100,-3.1,102350,97200,"Bachelor's degree","Low Opportunity",-30.9
"45-2093","Farmworkers, Farm, Ranch, and Aquacultural Animals",32810,31200,-5,39260,36150,"No formal educational credential","Declining",-31.3
"43-5051","Postal Service Clerks",73720,6100,-3.5,61860,61630,"No formal educational credential","Low Opportunity",-31.3
"51-8012","Power Distributors and Dispatchers",8520,800,-3.2,111320,107240,"High school diploma or equivalent","Low Opportunity",-31.5
"51-7021","Furniture Finishers",14480,2000,-3.3,45300,42530,"High school diploma or equivalent","Low Opportunity",-31.8
"13-1051","Cost Estimators",224220,16900,-4.2,85390,77070,"Bachelor's degree","Low Opportunity",-31.9
"53-7011","Conveyor Operators and Tenders",22930,2600,-3.4,45080,41230,"No formal educational credential","Low Opportunity",-32.4
"53-6011","Bridge and Lock Tenders",3040,300,-3.3,55370,58490,"High school diploma or equivalent","Low Opportunity",-32.8
"15-1244","Network and Computer Systems Administrators",314340,14300,-4.2,103680,96800,"Bachelor's degree","Low Opportunity",-33.4
"49-2022","Telecommunications Equipment Installers and Repairers, Except Line Installers",140920,13200,-4.2,68500,62630,"Postsecondary nondegree award","Low Opportunity",-34.1
"43-5071","Shipping, Receiving, and Inventory Clerks",816870,69300,-7.7,46810,43190,"High school diploma or equivalent","Declining",-35.4
"27-3023","News Analysts, Reporters, and Journalists",39250,4100,-3.9,102460,60280,"Bachelor's degree","Low Opportunity",-36.5
"39-3021","Motion Picture Projectionists",1480,500,-3.7,51480,38180,"No formal educational credential","Low Opportunity",-36.7
"51-6042","Shoe Machine Operators and Tenders",3280,400,-3.7,36280,38160,"High school diploma or equivalent","Low Opportunity",-36.8
"51-6041","Shoe and Leather Workers and Repairers",7450,900,-3.8,39160,35950,"High school diploma or equivalent","Low Opportunity",-37.5
"13-1031","Claims Adjusters, Examiners, and Investigators",324230,21100,-5.1,80470,76790,"High school diploma or equivalent","Declining",-38.3
"47-2151","Pipelayers",33050,2400,-4.1,54700,48710,"No formal educational credential","Low Opportunity",-39.6
"51-9012","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",60100,5400,-4.3,56030,49500,"High school diploma or equivalent","Low Opportunity",-39.8
"13-2041","Credit Analysts",64390,3700,-4.4,100850,80970,"Bachelor's degree","Low Opportunity",-41.8
"51-6052","Tailors, Dressmakers, and Custom Sewers",13920,5000,-4.5,45140,40860,"No formal educational credential","Low Opportunity",-42.0
"51-7099","Woodworkers, All Other",5490,1800,-4.4,46070,41220,"High school diploma or equivalent","Low Opportunity",-42.9
"35-2015","Cooks, Short Order",138650,20600,-5.6,36120,35620,"No formal educational credential","Declining",-43.6
"31-9094","Medical Transcriptionists",41550,7400,-4.9,41710,37550,"Postsecondary nondegree award","Low Opportunity",-44.6
"51-9081","Dental Laboratory Technicians",34410,3900,-4.7,54290,48310,"High school diploma or equivalent","Low Opportunity",-44.7
"43-5111","Weighers, Measurers, Checkers, and Samplers, Recordkeeping",53300,5300,-4.8,47630,45650,"High school diploma or equivalent","Low Opportunity",-44.8
"51-7031","Model Makers, Wood",280,100,-4.5,63670,51850,"High school diploma or equivalent","Low Opportunity",-44.9
"27-4015","Lighting Technicians",8900,800,-4.6,78380,60560,"Postsecondary nondegree award","Low Opportunity",-45.5
"45-4011","Forest and Conservation Workers",6050,2000,-4.7,43680,43680,"High school diploma or equivalent","Low Opportunity",-45.8
"53-7073","Wellhead Pumpers",17990,2000,-4.7,70370,70010,"High school diploma or equivalent","Low Opportunity",-45.8
"43-6012","Legal Secretaries and Administrative Assistants",156280,19600,-5.8,60620,54140,"High school diploma or equivalent","Declining",-46.2
"51-4052","Pourers and Casters, Metal",4560,600,-4.7,54290,48940,"High school diploma or equivalent","Low Opportunity",-46.6
"45-4029","Logging Workers, All Other",1700,400,-4.7,52910,52000,"High school diploma or equivalent","Low Opportunity",-46.8
"43-3041","Gambling Cage Workers",14430,1300,-5,39510,36990,"High school diploma or equivalent","Declining",-49.2
"51-7032","Patternmakers, Wood",220,0,-5,54240,52520,"High school diploma or equivalent","Declining",-50.0
"45-2041","Graders and Sorters, Agricultural Products",25180,5100,-5.4,36430,35430,"No formal educational credential","Declining",-50.9
"19-3022","Survey Researchers",8290,700,-5.2,79580,63380,"Master's degree","Declining",-51.6
"51-9071","Jewelers and Precious Stone and Metal Workers",22440,4000,-5.5,57960,49140,"High school diploma or equivalent","Declining",-52.6
"27-3011","Broadcast Announcers and Radio Disc Jockeys",21240,2300,-5.5,78720,45680,"Bachelor's degree","Declining",-53.6
"51-4192","Layout Workers, Metal and Plastic",5970,500,-5.4,66520,61870,"High school diploma or equivalent","Declining",-53.7
"17-3012","Electrical and Electronics Drafters",17920,1700,-5.6,81280,73720,"Associate's degree","Declining",-55.0
"43-4021","Correspondence Clerks",4290,700,-5.6,48090,46740,"High school diploma or equivalent","Declining",-55.6
"27-1023","Floral Designers",40590,5100,-5.9,39520,36120,"High school diploma or equivalent","Declining",-55.9
"15-1251","Computer Programmers",92230,5500,-6,105170,98670,"Bachelor's degree","Declining",-56.7
"33-9093","Transportation Security Screeners",50290,4700,-6,64310,63360,"High school diploma or equivalent","Declining",-57.2
"51-9196","Paper Goods Machine Setters, Operators, and Tenders",96130,8100,-6.3,52840,49390,"High school diploma or equivalent","Declining",-58.1
"41-3011","Advertising Sales Agents",91700,9300,-6.4,80670,61460,"High school diploma or equivalent","Declining",-58.4
"51-8031","Water and Wastewater Treatment Plant and System Operators",128490,10700,-6.5,62540,58260,"High school diploma or equivalent","Declining",-58.6
"43-4121","Library Assistants, Clerical",85520,12800,-6.7,39370,36010,"High school diploma or equivalent","Declining",-59.3
"33-3031","Fish and Game Wardens",5770,500,-6,74950,68180,"Bachelor's degree","Declining",-59.7
"33-3012","Correctional Officers and Jailers",380500,30100,-7.8,63630,57970,"High school diploma or equivalent","Declining",-59.9
"51-8091","Chemical Plant and System Operators",16610,1600,-6.1,79970,73540,"High school diploma or equivalent","Declining",-60.0
"25-4031","Library Technicians",68690,13000,-6.8,45500,39970,"Postsecondary nondegree award","Declining",-60.2
"39-3012","Gambling and Sports Book Writers and Runners",8950,1200,-6.1,36450,30460,"High school diploma or equivalent","Declining",-60.3
"47-5049","Underground Mining Machine Operators, All Other",3180,400,-6.1,69860,67220,"No formal educational credential","Declining",-60.8
"43-4041","Credit Authorizers, Checkers, and Clerks",12030,1000,-6.2,51420,49130,"High school diploma or equivalent","Declining",-61.4
"41-2012","Gambling Change Persons and Booth Cashiers",21530,4000,-6.4,39100,34810,"No formal educational credential","Declining",-61.6
"43-9051","Mail Clerks and Mail Machine Operators, Except Postal Service",55230,6900,-6.6,41650,38150,"High school diploma or equivalent","Declining",-61.9
"51-2021","Coil Winders, Tapers, and Finishers",12840,1200,-6.3,50470,47260,"High school diploma or equivalent","Declining",-62.3
"51-9023","Mixing and Blending Machine Setters, Operators, and Tenders",94920,8800,-6.8,52090,47680,"High school diploma or equivalent","Declining",-62.7
"17-3013","Mechanical Drafters",39960,3300,-6.5,75060,68510,"Associate's degree","Declining",-63.0
"43-9199","Office and Administrative Support Workers, All Other",192260,21300,-7.8,48670,46040,"High school diploma or equivalent","Declining",-65.2
"43-4161","Human Resources Assistants, Except Payroll and Timekeeping",90220,9000,-7.1,52250,49440,"Associate's degree","Declining",-65.6
"17-3019","Drafters, All Other",14470,1300,-6.9,68250,62010,"Associate's degree","Declining",-68.2
"51-6051","Sewers, Hand",2190,700,-7,37210,33760,"No formal educational credential","Declining",-69.6
"45-4021","Fallers",3130,700,-7.3,57110,53900,"High school diploma or equivalent","Declining",-72.6
"51-5112","Printing Press Operators",144260,13700,-8.1,47360,45160,"High school diploma or equivalent","Declining",-72.8
"51-9198","Helpers--Production Workers",165700,23600,-8.9,41120,38220,"High school diploma or equivalent","Declining",-74.8
"19-4051","Nuclear Technicians",6470,700,-7.7,108940,104240,"Associate's degree","Declining",-76.6
"51-4194","Tool Grinders, Filers, and Sharpeners",5600,500,-7.8,53240,48970,"High school diploma or equivalent","Declining",-77.7
"43-5053","Postal Service Mail Sorters, Processors, and Processing Machine Operators",105200,7800,-8.4,59430,56530,"No formal educational credential","Declining",-79.3
"13-1032","Insurance Appraisers, Auto Damage",11560,500,-8.2,78900,76650,"Postsecondary nondegree award","Declining",-81.7
"51-4023","Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",25250,1900,-8.3,53220,48630,"High school diploma or equivalent","Declining",-81.9
"49-9094","Locksmiths and Safe Repairers",15040,1700,-8.3,55470,50490,"High school diploma or equivalent","Declining",-82.0
"43-3061","Procurement Clerks",55810,4600,-8.7,52370,48510,"High school diploma or equivalent","Declining",-84.2
"35-2011","Cooks, Fast Food",641070,82100,-13.5,32390,30160,"No formal educational credential","Declining",-85.7
"51-8092","Gas Plant Operators",18030,1300,-8.8,88710,83400,"High school diploma or equivalent","Declining",-87.2
"51-4122","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",31600,3200,-9,50220,47060,"High school diploma or equivalent","Declining",-88.1
"51-6064","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",22020,2500,-9,40120,37660,"High school diploma or equivalent","Declining",-88.5
"43-4011","Brokerage Clerks",35940,4100,-9.5,72850,62940,"High school diploma or equivalent","Declining",-92.5
"51-6099","Textile, Apparel, and Furnishings Workers, All Other",13530,1700,-9.4,40560,37010,"High school diploma or equivalent","Declining",-93.0
"51-4199","Metal Workers and Plastic Workers, All Other",15900,1700,-9.5,48580,42750,"High school diploma or equivalent","Declining",-94.0
"47-2041","Carpet Installers",13780,1100,-9.6,56990,49850,"No formal educational credential","Declining",-95.3
"43-3011","Bill and Account Collectors",158830,13700,-10.5,49060,46040,"High school diploma or equivalent","Declining",-96.8
"41-9091","Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",2760,2700,-10,43850,34530,"No formal educational credential","Declining",-98.4
"51-9161","Computer Numerically Controlled Tool Operators",169450,13500,-10.7,54320,49970,"High school diploma or equivalent","Declining",-98.9
"51-6031","Sewing Machine Operators",104880,13000,-10.8,37600,36000,"No formal educational credential","Declining",-100.2
"51-6061","Textile Bleaching and Dyeing Machine Operators and Tenders",5310,700,-10.1,40380,37320,"High school diploma or equivalent","Declining",-100.6
"51-6092","Fabric and Apparel Patternmakers",2950,300,-10.2,71420,67670,"High school diploma or equivalent","Declining",-101.8
"47-3011","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",14170,1400,-10.5,50920,46480,"No formal educational credential","Declining",-104.2
"51-4111","Tool and Die Makers",56930,4700,-10.8,66860,63180,"Postsecondary nondegree award","Declining",-105.2
"43-4111","Interviewers, Except Eligibility and Loan",148060,15800,-11.6,47240,43830,"High school diploma or equivalent","Declining",-106.5
"51-8013","Power Plant Operators",29320,2500,-11.2,99790,99670,"High school diploma or equivalent","Declining",-110.5
"47-2053","Terrazzo Workers and Finishers",1180,100,-11.1,84920,57260,"High school diploma or equivalent","Declining",-110.9
"51-6063","Textile Knitting and Weaving Machine Setters, Operators, and Tenders",13030,1700,-11.2,40720,38260,"High school diploma or equivalent","Declining",-111.0
"43-3071","Tellers",329480,29800,-12.9,42350,39340,"High school diploma or equivalent","Declining",-111.1
"51-4031","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",171200,14400,-12.1,48430,45590,"High school diploma or equivalent","Declining",-112.4
"51-6062","Textile Cutting Machine Setters, Operators, and Tenders",9000,1000,-11.7,39530,37940,"High school diploma or equivalent","Declining",-116.4
"51-4033","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",67000,5500,-12,48170,45190,"High school diploma or equivalent","Declining",-116.7
"43-5041","Meter Readers, Utilities",19430,1300,-12,55380,49180,"High school diploma or equivalent","Declining",-119.2
"43-9031","Desktop Publishers",3350,400,-12.4,61970,53620,"Associate's degree","Declining",-123.8
"53-7063","Machine Feeders and Offbearers",42330,4700,-13,43660,39700,"No formal educational credential","Declining",-127.2
"51-4191","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",14000,1200,-12.8,50450,47450,"High school diploma or equivalent","Declining",-127.3
"43-4141","New Accounts Clerks",36860,2300,-13.2,49370,46610,"High school diploma or equivalent","Declining",-130.6
"51-6021","Pressers, Textile, Garment, and Related Materials",26120,2800,-13.5,34640,33880,"No formal educational credential","Declining",-133.3
"51-4193","Plating Machine Setters, Operators, and Tenders, Metal and Plastic",32410,2500,-13.6,45100,41600,"High school diploma or equivalent","Declining",-134.5
"25-3011","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",37310,3900,-13.7,65860,59950,"Bachelor's degree","Declining",-134.7
"51-4034","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",16710,1500,-13.6,52490,48620,"High school diploma or equivalent","Declining",-135.1
"49-2096","Electronic Equipment Installers and Repairers, Motor Vehicles",8550,600,-13.6,51560,47940,"High school diploma or equivalent","Declining",-135.6
"51-4035","Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",12460,1100,-14.4,56740,48310,"High school diploma or equivalent","Declining",-143.3
"51-2011","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",34020,2800,-14.5,71420,61680,"High school diploma or equivalent","Declining",-143.3
"51-5111","Prepress Technicians and Workers",23840,2800,-14.6,50800,47300,"Postsecondary nondegree award","Declining",-144.3
"43-9071","Office Machine Operators, Except Computer",25130,2800,-15.2,43220,39020,"High school diploma or equivalent","Declining",-150.3
"49-9061","Camera and Photographic Equipment Repairers",1650,200,-15.1,56040,49300,"High school diploma or equivalent","Declining",-150.9
"51-8011","Nuclear Power Reactor Operators",5150,400,-15.3,121380,122610,"High school diploma or equivalent","Declining",-152.8
"43-4071","File Clerks",73440,7300,-15.9,45590,41270,"High school diploma or equivalent","Declining",-154.6
"43-3051","Payroll and Timekeeping Clerks",153140,13000,-16.7,59630,55290,"High school diploma or equivalent","Declining",-159.2
"51-5113","Print Binding and Finishing Workers",33180,2800,-16.1,44460,39820,"High school diploma or equivalent","Declining",-159.3
"51-2041","Structural Metal Fabricators and Fitters",52360,4100,-16.3,54030,49900,"High school diploma or equivalent","Declining",-160.5
"43-4151","Order Clerks",75200,8000,-17.2,48220,44660,"Some college, no degree","Declining",-167.2
"49-9045","Refractory Materials Repairers, Except Brickmasons",1080,100,-16.9,63770,58540,"High school diploma or equivalent","Declining",-168.9
"51-2061","Timing Device Assemblers and Adjusters",250,0,-17.5,56720,40790,"High school diploma or equivalent","Declining",-175.0
"51-9031","Cutters and Trimmers, Hand",6060,600,-18.1,41050,38800,"No formal educational credential","Declining",-180.6
"51-4061","Model Makers, Metal and Plastic",2610,300,-18.2,68570,62700,"High school diploma or equivalent","Declining",-181.8
"51-4022","Forging Machine Setters, Operators, and Tenders, Metal and Plastic",8930,600,-18.9,51680,49240,"High school diploma or equivalent","Declining",-188.6
"51-4032","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",4680,400,-19.6,51810,46630,"High school diploma or equivalent","Declining",-195.8
"51-2031","Engine and Other Machine Assemblers",34000,2800,-21.1,57790,52540,"High school diploma or equivalent","Declining",-209.3
"51-9022","Grinding and Polishing Workers, Hand",10510,800,-21.2,45020,41690,"No formal educational credential","Declining",-211.5
"41-9041","Telemarketers",58430,6500,-22.1,37370,34410,"No formal educational credential","Declining",-217.1
"47-5044","Loading and Moving Machine Operators, Underground Mining",5930,500,-22.3,71240,68860,"No formal educational credential","Declining",-222.7
"51-4062","Patternmakers, Metal and Plastic",1470,100,-24.4,60610,54540,"High school diploma or equivalent","Declining",-243.9
"43-9021","Data Entry Keyers",127080,9500,-25.9,43310,39850,"High school diploma or equivalent","Declining",-253.3
"51-4071","Foundry Mold and Coremakers",12790,900,-25.9,49860,45700,"High school diploma or equivalent","Declining",-258.5
"43-2011","Switchboard Operators, Including Answering Service",34280,2800,-26.3,42300,38370,"High school diploma or equivalent","Declining",-261.3
"43-2021","Telephone Operators",3430,300,-27.5,44970,39130,"High school diploma or equivalent","Declining",-274.8
"47-5043","Roof Bolters, Mining",2160,100,-34.2,78100,76640,"High school diploma or equivalent","Declining",-341.9
"43-9022","Word Processors and Typists",35010,2200,-36.1,51120,47850,"High school diploma or equivalent","Declining",-359.7
